"DateTime","Biochemical Oxygen Demand (mg/L)"
"2018-01-03 18:30:00",12
"2018-02-01 18:30:00",20
"2018-03-02 18:30:00",22
"2018-04-03 18:30:00",15
"2018-05-02 18:30:00",18
"2018-06-04 18:30:00",11
"2018-07-02 18:30:00",12
"2018-08-02 18:30:00",7
"2018-09-04 18:30:00",10
"2018-10-02 18:30:00",7
"2018-11-01 18:30:00",12
"2018-11-30 18:30:00",12
"2019-01-01 18:30:00",12
"2019-02-03 18:30:00",14
"2019-02-28 18:30:00",10
"2019-04-01 18:30:00",3
"2019-05-07 18:30:00",12
"2019-05-31 18:30:00",17
"2019-07-07 18:30:00",10
"2019-08-01 18:30:00",7
"2019-09-07 18:30:00",8
"2019-10-06 18:30:00",12
"2019-10-31 18:30:00",9
"2019-12-03 18:30:00",10
"2021-01-07 18:30:00",10
"2021-02-08 18:30:00",14
"2021-03-08 18:30:00",14
