"DateTime","Dissolved Oxygen (mg/L)"
"2018-01-03 18:30:00",4
"2018-02-01 18:30:00",3.5
"2018-03-02 18:30:00",3.2
"2018-04-03 18:30:00",3.2
"2018-05-02 18:30:00",3.1
"2018-06-04 18:30:00",3.8
"2018-07-02 18:30:00",4.5
"2018-08-02 18:30:00",5.2
"2018-09-04 18:30:00",4.9
"2018-10-02 18:30:00",5.2
"2018-11-01 18:30:00",4.3
"2018-11-30 18:30:00",4.3
"2019-01-01 18:30:00",4.3
"2019-02-03 18:30:00",3.8
"2019-02-28 18:30:00",4.5
"2019-04-01 18:30:00",7
"2019-05-07 18:30:00",3.8
"2019-05-31 18:30:00",3.2
"2019-07-07 18:30:00",4.4
"2019-08-01 18:30:00",4.9
"2019-09-07 18:30:00",4.8
"2019-10-06 18:30:00",4.2
"2019-10-31 18:30:00",4.5
"2019-12-03 18:30:00",4.6
"2021-01-07 18:30:00",3.7
"2021-02-08 18:30:00",3.7
"2021-03-08 18:30:00",3.5
