"DateTime","Fecal Coliforms (MPN/100ml)"
"2018-01-03 18:30:00",140
"2018-02-01 18:30:00",170
"2018-03-02 18:30:00",70
"2018-04-03 18:30:00",110
"2018-05-02 18:30:00",240
"2018-06-04 18:30:00",220
"2018-07-02 18:30:00",1600
"2018-08-02 18:30:00",1600
"2018-09-04 18:30:00",1600
"2018-10-02 18:30:00",27
"2018-11-01 18:30:00",110
"2018-11-30 18:30:00",140
"2019-01-01 18:30:00",170
"2019-02-03 18:30:00",920
"2019-02-28 18:30:00",110
"2019-04-01 18:30:00",26
"2019-05-07 18:30:00",920
"2019-05-31 18:30:00",920
"2019-07-07 18:30:00",23
"2019-08-01 18:30:00",280
"2019-09-07 18:30:00",130
"2019-10-06 18:30:00",220
"2019-10-31 18:30:00",170
"2019-12-03 18:30:00",130
"2021-01-07 18:30:00",23
"2021-02-08 18:30:00",220
"2021-03-08 18:30:00",79
