,DateTime,Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),Fecal Coliforms (MPN/100ml),pH
0,2018-01-03 18:30:00,12,4.0,140,7.2
1,2018-02-01 18:30:00,20,3.5,170,7.5
2,2018-03-02 18:30:00,22,3.2,70,7.2
3,2018-04-03 18:30:00,15,3.2,110,7.3
4,2018-05-02 18:30:00,18,3.1,240,8.1
5,2018-06-04 18:30:00,11,3.8,220,7.5
6,2018-07-02 18:30:00,12,4.5,1600,7.5
7,2018-08-02 18:30:00,7,5.2,1600,7.5
8,2018-09-04 18:30:00,10,4.9,1600,7.8
9,2018-10-02 18:30:00,7,5.2,27,7.4
10,2018-11-01 18:30:00,12,4.3,110,7.3
11,2018-11-30 18:30:00,12,4.3,140,7.9
12,2019-01-01 18:30:00,12,4.3,170,7.3
13,2019-02-03 18:30:00,14,3.8,920,7.3
14,2019-02-28 18:30:00,10,4.5,110,7.7
15,2019-04-01 18:30:00,3,7.0,26,8.0
16,2019-05-07 18:30:00,12,3.8,920,7.6
17,2019-05-31 18:30:00,17,3.2,920,7.0
18,2019-07-07 18:30:00,10,4.4,23,6.7
19,2019-08-01 18:30:00,7,4.9,280,7.3
20,2019-09-07 18:30:00,8,4.8,130,7.1
21,2019-10-06 18:30:00,12,4.2,220,7.2
22,2019-10-31 18:30:00,9,4.5,170,7.9
23,2019-12-03 18:30:00,10,4.6,130,7.6
24,2021-01-07 18:30:00,10,3.7,23,7.8
25,2021-02-08 18:30:00,14,3.7,220,8.0
26,2021-03-08 18:30:00,14,3.5,79,7.9
