"DateTime","Biochemical Oxygen Demand (mg/L)"
"2018-06-10 18:30:00",1.5
"2018-07-01 18:30:00",
"2018-08-12 18:30:00",
"2018-09-02 18:30:00",2.6
"2018-09-30 18:30:00",2.7
"2018-11-01 18:30:00",
"2018-12-16 18:30:00",2.9
"2019-01-10 18:30:00",1.4
"2019-01-31 18:30:00",1.2
"2019-03-18 18:30:00",
"2019-04-15 18:30:00",
"2019-05-12 18:30:00",1.4
"2019-06-27 18:30:00",2
"2019-07-18 18:30:00",2
"2019-08-13 18:30:00",2
"2019-09-17 18:30:00",2
"2019-11-19 18:30:00",
"2019-12-08 18:30:00",2
"2020-01-06 18:30:00",
"2020-02-04 18:30:00",
"2020-03-03 18:30:00",2
"2020-04-14 18:30:00",2
"2020-05-05 18:30:00",
"2020-06-09 18:30:00",
"2020-07-05 18:30:00",
"2020-08-04 18:30:00",
"2020-09-08 18:30:00",
"2020-10-06 18:30:00",
"2020-11-03 18:30:00",
"2021-01-05 18:30:00",1.8
"2021-02-02 18:30:00",1.9
"2021-03-02 18:30:00",1.5
