"DateTime","Electrical Conductivity (µS/cm) at 25°C)"
"2018-06-07 18:30:00",
"2018-07-12 18:30:00",
"2018-08-20 18:30:00",
"2018-09-16 18:30:00",
"2018-10-11 18:30:00",
"2018-11-11 18:30:00",
"2018-12-17 18:30:00",
"2019-01-10 18:30:00",
"2019-02-05 18:30:00",
"2019-03-24 18:30:00",
"2019-04-21 18:30:00",
"2019-05-19 18:30:00",
"2019-06-28 18:30:00",
"2019-07-29 18:30:00",
"2019-11-19 18:30:00",
"2019-12-08 18:30:00",
"2020-01-06 18:30:00",57690
"2020-02-13 18:30:00",57100
"2020-03-12 18:30:00",59110
"2020-04-26 18:30:00",64670
"2020-05-12 18:30:00",62570
"2020-06-09 18:30:00",56340
"2020-07-12 18:30:00",34350
"2020-08-11 18:30:00",37330
"2020-09-20 18:30:00",43130
"2020-10-15 18:30:00",55640
"2020-11-12 18:30:00",56530
"2021-01-12 18:30:00",
"2021-02-09 18:30:00",
"2021-03-09 18:30:00",
