"DateTime","Fecal Coliforms (MPN/100ml)"
"2018-06-07 18:30:00",79
"2018-07-12 18:30:00",3500
"2018-08-20 18:30:00",
"2018-09-16 18:30:00",23
"2018-10-11 18:30:00",170
"2018-11-11 18:30:00",79
"2018-12-17 18:30:00",130
"2019-01-10 18:30:00",79
"2019-02-05 18:30:00",49
"2019-03-24 18:30:00",70
"2019-04-21 18:30:00",33
"2019-05-19 18:30:00",33
"2019-06-28 18:30:00",
"2019-07-29 18:30:00",1100
"2019-11-19 18:30:00",540
"2019-12-08 18:30:00",79
"2020-01-06 18:30:00",170
"2020-02-13 18:30:00",130
"2020-03-12 18:30:00",49
"2020-04-26 18:30:00",33
"2020-05-12 18:30:00",23
"2020-06-09 18:30:00",49
"2020-07-12 18:30:00",240
"2020-08-11 18:30:00",94
"2020-09-20 18:30:00",110
"2020-10-15 18:30:00",130
"2020-11-12 18:30:00",23
"2021-01-12 18:30:00",23
"2021-02-09 18:30:00",33
"2021-03-09 18:30:00",79
