,DateTime,Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),Dissolved Oxygen (mg/L)_1,Electrical Conductivity (µS/cm) at 25°C),Fecal Coliforms (MPN/100ml),pH
0,2018-06-07 18:30:00,1.5,,6.5,,79.0,8.13
1,2018-07-12 18:30:00,1.4,,6.3,,3500.0,7.99
2,2018-08-20 18:30:00,2.0,,7.0,,,7.7
3,2018-09-16 18:30:00,4.1,,5.0,,23.0,8.19
4,2018-10-11 18:30:00,1.8,,6.2,,170.0,8.3
5,2018-11-11 18:30:00,2.4,,6.5,,79.0,6.53
6,2018-12-17 18:30:00,1.2,,7.6,,130.0,7.4
7,2019-01-10 18:30:00,1.2,,6.4,,79.0,8.1
8,2019-02-05 18:30:00,3.3,,6.5,,49.0,7.9
9,2019-03-24 18:30:00,1.3,,6.0,,70.0,7.9
10,2019-04-21 18:30:00,,,6.2,,33.0,8.2
11,2019-05-19 18:30:00,1.7,,6.3,,33.0,8.1
12,2019-06-28 18:30:00,2.0,,6.5,,,7.4
13,2019-07-29 18:30:00,2.0,,5.3,,1100.0,7.7
14,2019-11-19 18:30:00,1.5,,6.2,,540.0,7.8
15,2019-12-08 18:30:00,2.0,,6.9,,79.0,7.8
16,2020-01-06 18:30:00,,6.5,,57690.0,170.0,7.9
17,2020-02-13 18:30:00,,6.2,,57100.0,130.0,7.0
18,2020-03-12 18:30:00,,6.5,,59110.0,49.0,7.9
19,2020-04-26 18:30:00,,6.7,,64670.0,33.0,8.1
20,2020-05-12 18:30:00,2.2,6.2,,62570.0,23.0,7.9
21,2020-06-09 18:30:00,,6.5,,56340.0,49.0,7.8
22,2020-07-12 18:30:00,,6.9,,34350.0,240.0,7.7
23,2020-08-11 18:30:00,,6.7,,37330.0,94.0,7.3
24,2020-09-20 18:30:00,,7.2,,43130.0,110.0,7.7
25,2020-10-15 18:30:00,,7.0,,55640.0,130.0,7.4
26,2020-11-12 18:30:00,2.0,6.6,,56530.0,23.0,7.7
27,2021-01-12 18:30:00,1.5,,6.6,,23.0,7.84
28,2021-02-09 18:30:00,1.8,,7.0,,33.0,7.86
29,2021-03-09 18:30:00,1.4,,6.2,,79.0,7.75
