"DateTime","pH"
"2018-06-07 18:30:00",8.13
"2018-07-12 18:30:00",7.99
"2018-08-20 18:30:00",7.7
"2018-09-16 18:30:00",8.19
"2018-10-11 18:30:00",8.3
"2018-11-11 18:30:00",6.53
"2018-12-17 18:30:00",7.4
"2019-01-10 18:30:00",8.1
"2019-02-05 18:30:00",7.9
"2019-03-24 18:30:00",7.9
"2019-04-21 18:30:00",8.2
"2019-05-19 18:30:00",8.1
"2019-06-28 18:30:00",7.4
"2019-07-29 18:30:00",7.7
"2019-11-19 18:30:00",7.8
"2019-12-08 18:30:00",7.8
"2020-01-06 18:30:00",7.9
"2020-02-13 18:30:00",7
"2020-03-12 18:30:00",7.9
"2020-04-26 18:30:00",8.1
"2020-05-12 18:30:00",7.9
"2020-06-09 18:30:00",7.8
"2020-07-12 18:30:00",7.7
"2020-08-11 18:30:00",7.3
"2020-09-20 18:30:00",7.7
"2020-10-15 18:30:00",7.4
"2020-11-12 18:30:00",7.7
"2021-01-12 18:30:00",7.84
"2021-02-09 18:30:00",7.86
"2021-03-09 18:30:00",7.75
