"DateTime","Biochemical Oxygen Demand (mg/L)"
"2018-01-08 18:30:00",12
"2018-02-04 18:30:00",18
"2018-03-05 18:30:00",15
"2018-04-04 18:30:00",36
"2018-05-08 18:30:00",12
"2018-06-03 18:30:00",16
"2018-07-04 18:30:00",7
"2018-08-08 18:30:00",7
"2018-09-08 18:30:00",10
"2018-10-03 18:30:00",62
"2018-10-31 18:30:00",11
"2018-12-05 18:30:00",14
"2019-01-02 18:30:00",14
"2019-02-04 18:30:00",12
"2019-03-14 18:30:00",11
"2019-04-03 18:30:00",4
"2019-05-05 18:30:00",15
"2019-06-05 18:30:00",55
"2019-07-09 18:30:00",7
"2019-08-07 18:30:00",8
"2019-09-04 18:30:00",7
"2019-10-06 18:30:00",12
"2019-11-07 18:30:00",11
"2019-12-05 18:30:00",14
"2021-01-06 18:30:00",12
"2021-02-08 18:30:00",13
"2021-03-07 18:30:00",14
