"DateTime","Fecal Coliforms (MPN/100ml)"
"2018-01-08 18:30:00",110
"2018-02-04 18:30:00",170
"2018-03-05 18:30:00",70
"2018-04-04 18:30:00",38
"2018-05-08 18:30:00",350
"2018-06-03 18:30:00",540
"2018-07-04 18:30:00",79
"2018-08-08 18:30:00",79
"2018-09-08 18:30:00",27
"2018-10-03 18:30:00",21
"2018-10-31 18:30:00",22
"2018-12-05 18:30:00",84
"2019-01-02 18:30:00",94
"2019-02-04 18:30:00",79
"2019-03-14 18:30:00",79
"2019-04-03 18:30:00",23
"2019-05-05 18:30:00",79
"2019-06-05 18:30:00",79
"2019-07-09 18:30:00",17
"2019-08-07 18:30:00",46
"2019-09-04 18:30:00",27
"2019-10-06 18:30:00",17
"2019-11-07 18:30:00",350
"2019-12-05 18:30:00",22
"2021-01-06 18:30:00",33
"2021-02-08 18:30:00",49
"2021-03-07 18:30:00",70
