,DateTime,Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),Fecal Coliforms (MPN/100ml),pH
0,2018-01-08 18:30:00,12,4.2,110,7.7
1,2018-02-04 18:30:00,18,4.0,170,7.6
2,2018-03-05 18:30:00,15,3.5,70,7.7
3,2018-04-04 18:30:00,36,1.0,38,7.1
4,2018-05-08 18:30:00,12,3.8,350,7.0
5,2018-06-03 18:30:00,16,3.2,540,7.5
6,2018-07-04 18:30:00,7,5.3,79,7.3
7,2018-08-08 18:30:00,7,5.2,79,7.7
8,2018-09-08 18:30:00,10,4.9,27,7.9
9,2018-10-03 18:30:00,62,,21,7.1
10,2018-10-31 18:30:00,11,4.5,22,7.3
11,2018-12-05 18:30:00,14,4.0,84,7.3
12,2019-01-02 18:30:00,14,4.1,94,7.2
13,2019-02-04 18:30:00,12,3.9,79,7.6
14,2019-03-14 18:30:00,11,4.2,79,7.6
15,2019-04-03 18:30:00,4,6.7,23,6.5
16,2019-05-05 18:30:00,15,3.1,79,8.0
17,2019-06-05 18:30:00,55,,79,6.5
18,2019-07-09 18:30:00,7,4.7,17,7.3
19,2019-08-07 18:30:00,8,4.6,46,7.1
20,2019-09-04 18:30:00,7,4.7,27,7.7
21,2019-10-06 18:30:00,12,4.0,17,7.1
22,2019-11-07 18:30:00,11,4.5,350,7.8
23,2019-12-05 18:30:00,14,3.8,22,7.4
24,2021-01-06 18:30:00,12,3.8,33,7.4
25,2021-02-08 18:30:00,13,3.8,49,7.6
26,2021-03-07 18:30:00,14,3.4,70,8.4
