"DateTime","pH"
"2018-01-08 18:30:00",7.7
"2018-02-04 18:30:00",7.6
"2018-03-05 18:30:00",7.7
"2018-04-04 18:30:00",7.1
"2018-05-08 18:30:00",7
"2018-06-03 18:30:00",7.5
"2018-07-04 18:30:00",7.3
"2018-08-08 18:30:00",7.7
"2018-09-08 18:30:00",7.9
"2018-10-03 18:30:00",7.1
"2018-10-31 18:30:00",7.3
"2018-12-05 18:30:00",7.3
"2019-01-02 18:30:00",7.2
"2019-02-04 18:30:00",7.6
"2019-03-14 18:30:00",7.6
"2019-04-03 18:30:00",6.5
"2019-05-05 18:30:00",8
"2019-06-05 18:30:00",6.5
"2019-07-09 18:30:00",7.3
"2019-08-07 18:30:00",7.1
"2019-09-04 18:30:00",7.7
"2019-10-06 18:30:00",7.1
"2019-11-07 18:30:00",7.8
"2019-12-05 18:30:00",7.4
"2021-01-06 18:30:00",7.4
"2021-02-08 18:30:00",7.6
"2021-03-07 18:30:00",8.4
