"DateTime","Biochemical Oxygen Demand (mg/L)"
"2018-06-11 18:30:00",2.4
"2018-07-01 18:30:00",1.3
"2018-08-12 18:30:00",1.6
"2018-09-02 18:30:00",2.3
"2018-09-30 18:30:00",2.4
"2018-11-01 18:30:00",
"2018-12-16 18:30:00",2.9
"2019-01-10 18:30:00",2.3
"2019-01-31 18:30:00",1.4
"2019-03-18 18:30:00",1.3
"2019-04-25 18:30:00",
"2019-05-12 18:30:00",1.9
"2019-06-28 18:30:00",2
"2019-07-18 18:30:00",2
"2019-08-13 18:30:00",2
"2019-09-16 18:30:00",2
"2019-11-18 18:30:00",2
"2020-01-05 18:30:00",
"2020-02-03 18:30:00",
"2020-03-02 18:30:00",
"2020-04-12 18:30:00",
"2020-05-04 18:30:00",2.1
"2020-06-01 18:30:00",
"2020-07-02 18:30:00",
"2020-08-03 18:30:00",
"2020-09-07 18:30:00",
"2020-10-05 18:30:00",
"2020-11-02 18:30:00",
"2020-12-06 18:30:00",
"2021-01-04 18:30:00",1.3
"2021-02-01 18:30:00",1.8
"2021-03-01 18:30:00",
