"DateTime","Electrical Conductivity (µS/cm) at 25°C)"
"2018-06-11 18:30:00",
"2018-07-01 18:30:00",
"2018-08-12 18:30:00",
"2018-09-02 18:30:00",
"2018-09-30 18:30:00",
"2018-11-01 18:30:00",
"2018-12-16 18:30:00",
"2019-01-10 18:30:00",
"2019-01-31 18:30:00",
"2019-03-18 18:30:00",
"2019-04-25 18:30:00",
"2019-05-12 18:30:00",
"2019-06-28 18:30:00",
"2019-07-18 18:30:00",
"2019-08-13 18:30:00",
"2019-09-16 18:30:00",
"2019-11-18 18:30:00",
"2020-01-05 18:30:00",41450
"2020-02-03 18:30:00",55760
"2020-03-02 18:30:00",51000
"2020-04-12 18:30:00",61850
"2020-05-04 18:30:00",62070
"2020-06-01 18:30:00",58720
"2020-07-02 18:30:00",25790
"2020-08-03 18:30:00",15190
"2020-09-07 18:30:00",50840
"2020-10-05 18:30:00",54300
"2020-11-02 18:30:00",54270
"2020-12-06 18:30:00",57770
"2021-01-04 18:30:00",
"2021-02-01 18:30:00",
"2021-03-01 18:30:00",
