"DateTime","pH"
"2018-06-11 18:30:00",7.19
"2018-07-01 18:30:00",7
"2018-08-12 18:30:00",7.69
"2018-09-02 18:30:00",7.78
"2018-09-30 18:30:00",8.09
"2018-11-01 18:30:00",7.45
"2018-12-16 18:30:00",6.8
"2019-01-10 18:30:00",6.6
"2019-01-31 18:30:00",8
"2019-03-18 18:30:00",7.9
"2019-04-25 18:30:00",8
"2019-05-12 18:30:00",7.7
"2019-06-28 18:30:00",7.5
"2019-07-18 18:30:00",7.3
"2019-08-13 18:30:00",7.5
"2019-09-16 18:30:00",7.8
"2019-11-18 18:30:00",7.9
"2020-01-05 18:30:00",7.7
"2020-02-03 18:30:00",7.9
"2020-03-02 18:30:00",8
"2020-04-12 18:30:00",7.8
"2020-05-04 18:30:00",7.9
"2020-06-01 18:30:00",7.8
"2020-07-02 18:30:00",7.9
"2020-08-03 18:30:00",7.2
"2020-09-07 18:30:00",7.6
"2020-10-05 18:30:00",7.6
"2020-11-02 18:30:00",7.7
"2020-12-06 18:30:00",7.86
"2021-01-04 18:30:00",7.88
"2021-02-01 18:30:00",7.9
"2021-03-01 18:30:00",7.83
