"DateTime","Fecal Coliforms (MPN/100ml)"
"2018-01-03 18:30:00",280
"2018-02-02 18:30:00",130
"2018-03-02 18:30:00",79
"2018-04-02 18:30:00",120
"2018-05-06 18:30:00",540
"2018-06-01 18:30:00",920
"2018-07-02 18:30:00",540
"2018-08-01 18:30:00",1600
"2018-09-03 18:30:00",63
"2018-10-02 18:30:00",170
"2018-10-31 18:30:00",540
"2018-12-03 18:30:00",1600
"2019-01-04 18:30:00",920
"2019-01-31 18:30:00",1600
"2019-02-28 18:30:00",920
"2019-04-02 18:30:00",
"2019-05-01 18:30:00",1600
"2019-05-31 18:30:00",1600
"2019-07-02 18:30:00",70
"2019-08-04 18:30:00",240
"2019-09-04 18:30:00",110
"2019-10-03 18:30:00",220
"2019-11-04 18:30:00",920
"2019-12-04 18:30:00",280
"2021-01-03 18:30:00",240
"2021-02-02 18:30:00",94
"2021-03-01 18:30:00",540
