,DateTime,Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),Fecal Coliforms (MPN/100ml),pH
0,2018-01-03 18:30:00,18.0,3.5,280.0,6.9
1,2018-02-02 18:30:00,14.0,3.5,130.0,7.6
2,2018-03-02 18:30:00,20.0,3.0,79.0,6.9
3,2018-04-02 18:30:00,13.0,3.7,120.0,7.6
4,2018-05-06 18:30:00,15.0,3.4,540.0,6.8
5,2018-06-01 18:30:00,13.0,3.8,920.0,8.1
6,2018-07-02 18:30:00,12.0,4.5,540.0,7.1
7,2018-08-01 18:30:00,8.0,5.3,1600.0,7.6
8,2018-09-03 18:30:00,13.0,4.2,63.0,7.3
9,2018-10-02 18:30:00,16.0,4.0,170.0,6.5
10,2018-10-31 18:30:00,11.0,4.4,540.0,7.2
11,2018-12-03 18:30:00,10.0,4.9,1600.0,7.1
12,2019-01-04 18:30:00,13.0,4.2,920.0,7.6
13,2019-01-31 18:30:00,12.0,4.0,1600.0,7.6
14,2019-02-28 18:30:00,15.0,3.4,920.0,7.4
15,2019-04-02 18:30:00,,,,
16,2019-05-01 18:30:00,13.0,3.6,1600.0,7.4
17,2019-05-31 18:30:00,13.0,3.5,1600.0,7.1
18,2019-07-02 18:30:00,8.0,4.8,70.0,7.0
19,2019-08-04 18:30:00,6.0,5.4,240.0,6.7
20,2019-09-04 18:30:00,9.0,4.6,110.0,7.6
21,2019-10-03 18:30:00,12.0,4.4,220.0,7.2
22,2019-11-04 18:30:00,12.0,4.3,920.0,7.2
23,2019-12-04 18:30:00,12.0,4.3,280.0,7.3
24,2021-01-03 18:30:00,9.0,4.0,240.0,7.7
25,2021-02-02 18:30:00,14.0,3.7,94.0,7.8
26,2021-03-01 18:30:00,14.0,3.6,540.0,7.4
