"DateTime","Biochemical Oxygen Demand (mg/L)"
"2018-01-05 18:30:00",3.2
"2018-02-04 18:30:00",3.4
"2018-03-07 18:30:00",3.4
"2018-04-03 18:30:00",3.4
"2018-05-07 18:30:00",3.4
"2018-06-03 18:30:00",4.2
"2018-07-04 18:30:00",3.8
"2018-08-03 18:30:00",2.2
"2018-09-03 18:30:00",2.8
"2018-09-30 18:30:00",3
"2018-11-03 18:30:00",3.2
"2018-12-01 18:30:00",2.2
"2019-01-04 18:30:00",2.8
"2019-01-31 18:30:00",3.4
"2019-03-03 18:30:00",3.6
"2019-03-31 18:30:00",14
"2019-05-03 18:30:00",3.2
"2019-06-04 18:30:00",3.6
"2019-07-04 18:30:00",3
"2019-08-01 18:30:00",3
"2019-09-03 18:30:00",3.4
"2019-09-30 18:30:00",3
"2019-11-03 18:30:00",2.2
"2019-12-02 18:30:00",3
"2021-01-03 18:30:00",12.5
"2021-01-31 18:30:00",3.4
"2021-03-03 18:30:00",2.8
