"DateTime","Dissolved Oxygen (mg/L)"
"2018-01-05 18:30:00",5.4
"2018-02-04 18:30:00",5.4
"2018-03-07 18:30:00",5.2
"2018-04-03 18:30:00",5.3
"2018-05-07 18:30:00",5
"2018-06-03 18:30:00",5.2
"2018-07-04 18:30:00",6.2
"2018-08-03 18:30:00",6.8
"2018-09-03 18:30:00",6.4
"2018-09-30 18:30:00",6.6
"2018-11-03 18:30:00",6
"2018-12-01 18:30:00",6.8
"2019-01-04 18:30:00",6.9
"2019-01-31 18:30:00",6.9
"2019-03-03 18:30:00",6.3
"2019-03-31 18:30:00",4
"2019-05-03 18:30:00",5.6
"2019-06-04 18:30:00",5
"2019-07-04 18:30:00",6.3
"2019-08-01 18:30:00",6.5
"2019-09-03 18:30:00",6.5
"2019-09-30 18:30:00",6.2
"2019-11-03 18:30:00",6.8
"2019-12-02 18:30:00",6.8
"2021-01-03 18:30:00",1
"2021-01-31 18:30:00",6
"2021-03-03 18:30:00",5.5
