"DateTime","Fecal Coliforms (MPN/100ml)"
"2018-01-05 18:30:00",46
"2018-02-04 18:30:00",49
"2018-03-07 18:30:00",22
"2018-04-03 18:30:00",31
"2018-05-07 18:30:00",48
"2018-06-03 18:30:00",
"2018-07-04 18:30:00",33
"2018-08-03 18:30:00",46
"2018-09-03 18:30:00",
"2018-09-30 18:30:00",34
"2018-11-03 18:30:00",27
"2018-12-01 18:30:00",17
"2019-01-04 18:30:00",17
"2019-01-31 18:30:00",21
"2019-03-03 18:30:00",31
"2019-03-31 18:30:00",79
"2019-05-03 18:30:00",22
"2019-06-04 18:30:00",17
"2019-07-04 18:30:00",14
"2019-08-01 18:30:00",84
"2019-09-03 18:30:00",27
"2019-09-30 18:30:00",34
"2019-11-03 18:30:00",49
"2019-12-02 18:30:00",58
"2021-01-03 18:30:00",350
"2021-01-31 18:30:00",22
"2021-03-03 18:30:00",17
