,DateTime,Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),Fecal Coliforms (MPN/100ml),pH
0,2018-01-05 18:30:00,3.2,5.4,46.0,7.7
1,2018-02-04 18:30:00,3.4,5.4,49.0,7.5
2,2018-03-07 18:30:00,3.4,5.2,22.0,7.8
3,2018-04-03 18:30:00,3.4,5.3,31.0,7.9
4,2018-05-07 18:30:00,3.4,5.0,48.0,6.8
5,2018-06-03 18:30:00,4.2,5.2,,8.0
6,2018-07-04 18:30:00,3.8,6.2,33.0,7.9
7,2018-08-03 18:30:00,2.2,6.8,46.0,8.0
8,2018-09-03 18:30:00,2.8,6.4,,7.9
9,2018-09-30 18:30:00,3.0,6.6,34.0,7.7
10,2018-11-03 18:30:00,3.2,6.0,27.0,7.2
11,2018-12-01 18:30:00,2.2,6.8,17.0,7.7
12,2019-01-04 18:30:00,2.8,6.9,17.0,7.8
13,2019-01-31 18:30:00,3.4,6.9,21.0,7.8
14,2019-03-03 18:30:00,3.6,6.3,31.0,7.8
15,2019-03-31 18:30:00,14.0,4.0,79.0,7.1
16,2019-05-03 18:30:00,3.2,5.6,22.0,7.3
17,2019-06-04 18:30:00,3.6,5.0,17.0,7.7
18,2019-07-04 18:30:00,3.0,6.3,14.0,7.4
19,2019-08-01 18:30:00,3.0,6.5,84.0,7.4
20,2019-09-03 18:30:00,3.4,6.5,27.0,7.9
21,2019-09-30 18:30:00,3.0,6.2,34.0,7.8
22,2019-11-03 18:30:00,2.2,6.8,49.0,7.9
23,2019-12-02 18:30:00,3.0,6.8,58.0,7.8
24,2021-01-03 18:30:00,12.5,1.0,350.0,7.4
25,2021-01-31 18:30:00,3.4,6.0,22.0,7.9
26,2021-03-03 18:30:00,2.8,5.5,17.0,8.3
