"DateTime","Biochemical Oxygen Demand (mg/L)"
"2018-01-03 18:30:00",20
"2018-02-02 18:30:00",20
"2018-03-02 18:30:00",13
"2018-04-02 18:30:00",15
"2018-05-06 18:30:00",9
"2018-06-01 18:30:00",18
"2018-07-02 18:30:00",10
"2018-08-01 18:30:00",7
"2018-09-03 18:30:00",11
"2018-10-02 18:30:00",13
"2018-10-31 18:30:00",10
"2018-12-02 18:30:00",11
"2019-01-04 18:30:00",14
"2019-01-31 18:30:00",12
"2019-02-28 18:30:00",20
"2019-04-02 18:30:00",
"2019-05-01 18:30:00",18
"2019-05-31 18:30:00",15
"2019-07-02 18:30:00",9
"2019-08-05 18:30:00",8
"2019-09-04 18:30:00",8
"2019-10-02 18:30:00",11
"2019-11-04 18:30:00",12
"2019-12-04 18:30:00",14
"2021-01-03 18:30:00",10
"2021-02-04 18:30:00",14
"2021-03-02 18:30:00",11
