"DateTime","Dissolved Oxygen (mg/L)"
"2018-01-03 18:30:00",3.8
"2018-02-02 18:30:00",3.6
"2018-03-02 18:30:00",4.3
"2018-04-02 18:30:00",3.7
"2018-05-06 18:30:00",4.7
"2018-06-01 18:30:00",3.2
"2018-07-02 18:30:00",4.7
"2018-08-01 18:30:00",5.3
"2018-09-03 18:30:00",4.4
"2018-10-02 18:30:00",4.2
"2018-10-31 18:30:00",4.9
"2018-12-02 18:30:00",4.4
"2019-01-04 18:30:00",4.2
"2019-01-31 18:30:00",3.6
"2019-02-28 18:30:00",3.1
"2019-04-02 18:30:00",
"2019-05-01 18:30:00",3
"2019-05-31 18:30:00",3.3
"2019-07-02 18:30:00",4.6
"2019-08-05 18:30:00",5.2
"2019-09-04 18:30:00",4.9
"2019-10-02 18:30:00",4.6
"2019-11-04 18:30:00",4.1
"2019-12-04 18:30:00",4.3
"2021-01-03 18:30:00",3.3
"2021-02-04 18:30:00",3.6
"2021-03-02 18:30:00",4
