,DateTime,Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),Fecal Coliforms (MPN/100ml),pH
0,2018-01-03 18:30:00,20.0,3.8,220.0,6.8
1,2018-02-02 18:30:00,20.0,3.6,140.0,7.5
2,2018-03-02 18:30:00,13.0,4.3,23.0,7.2
3,2018-04-02 18:30:00,15.0,3.7,84.0,7.4
4,2018-05-06 18:30:00,9.0,4.7,280.0,6.7
5,2018-06-01 18:30:00,18.0,3.2,540.0,7.8
6,2018-07-02 18:30:00,10.0,4.7,79.0,6.8
7,2018-08-01 18:30:00,7.0,5.3,170.0,7.7
8,2018-09-03 18:30:00,11.0,4.4,1600.0,6.9
9,2018-10-02 18:30:00,13.0,4.2,22.0,7.3
10,2018-10-31 18:30:00,10.0,4.9,23.0,6.6
11,2018-12-02 18:30:00,11.0,4.4,23.0,7.2
12,2019-01-04 18:30:00,14.0,4.2,84.0,7.5
13,2019-01-31 18:30:00,12.0,3.6,110.0,7.5
14,2019-02-28 18:30:00,20.0,3.1,920.0,7.4
15,2019-04-02 18:30:00,,,,
16,2019-05-01 18:30:00,18.0,3.0,110.0,7.3
17,2019-05-31 18:30:00,15.0,3.3,110.0,7.6
18,2019-07-02 18:30:00,9.0,4.6,70.0,7.4
19,2019-08-05 18:30:00,8.0,5.2,240.0,6.8
20,2019-09-04 18:30:00,8.0,4.9,150.0,7.3
21,2019-10-02 18:30:00,11.0,4.6,220.0,6.7
22,2019-11-04 18:30:00,12.0,4.1,280.0,7.0
23,2019-12-04 18:30:00,14.0,4.3,170.0,7.3
24,2021-01-03 18:30:00,10.0,3.3,170.0,7.2
25,2021-02-04 18:30:00,14.0,3.6,94.0,7.9
26,2021-03-02 18:30:00,11.0,4.0,79.0,7.1
