"DateTime","Biochemical Oxygen Demand (mg/L)"
"2018-01-04 18:30:00",20
"2018-02-04 18:30:00",18
"2018-03-04 18:30:00",18
"2018-04-03 18:30:00",13
"2018-05-07 18:30:00",12
"2018-06-03 18:30:00",11
"2018-07-02 18:30:00",10
"2018-08-02 18:30:00",8.5
"2018-09-04 18:30:00",11
"2018-10-03 18:30:00",14
"2018-10-31 18:30:00",12
"2018-12-03 18:30:00",12
"2019-01-03 18:30:00",14
"2019-02-01 18:30:00",12
"2019-03-01 18:30:00",14
"2019-04-03 18:30:00",16
"2019-05-01 18:30:00",16
"2019-06-02 18:30:00",11
"2019-07-03 18:30:00",9
"2019-08-04 18:30:00",11
"2019-09-04 18:30:00",9
"2019-10-02 18:30:00",12
"2019-11-04 18:30:00",11
"2019-12-05 18:30:00",13
"2021-01-04 18:30:00",12
"2021-02-03 18:30:00",12
"2021-03-02 18:30:00",13
