"DateTime","Dissolved Oxygen (mg/L)"
"2018-01-04 18:30:00",3.4
"2018-02-04 18:30:00",3.8
"2018-03-04 18:30:00",3
"2018-04-03 18:30:00",3.8
"2018-05-07 18:30:00",3.7
"2018-06-03 18:30:00",4
"2018-07-02 18:30:00",5
"2018-08-02 18:30:00",5.1
"2018-09-04 18:30:00",4.7
"2018-10-03 18:30:00",4.1
"2018-10-31 18:30:00",4.3
"2018-12-03 18:30:00",4.4
"2019-01-03 18:30:00",4.1
"2019-02-01 18:30:00",3.8
"2019-03-01 18:30:00",3.8
"2019-04-03 18:30:00",3.3
"2019-05-01 18:30:00",3.2
"2019-06-02 18:30:00",4
"2019-07-03 18:30:00",4.1
"2019-08-04 18:30:00",4.6
"2019-09-04 18:30:00",4.8
"2019-10-02 18:30:00",4.4
"2019-11-04 18:30:00",4.4
"2019-12-05 18:30:00",4.3
"2021-01-04 18:30:00",3.5
"2021-02-03 18:30:00",3.8
"2021-03-02 18:30:00",3.7
