,DateTime,Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),Fecal Coliforms (MPN/100ml),pH
0,2018-01-04 18:30:00,20.0,3.4,540,7.0
1,2018-02-04 18:30:00,18.0,3.8,110,7.0
2,2018-03-04 18:30:00,18.0,3.0,46,6.7
3,2018-04-03 18:30:00,13.0,3.8,79,7.2
4,2018-05-07 18:30:00,12.0,3.7,280,6.9
5,2018-06-03 18:30:00,11.0,4.0,920,8.0
6,2018-07-02 18:30:00,10.0,5.0,920,7.3
7,2018-08-02 18:30:00,8.5,5.1,1600,7.6
8,2018-09-04 18:30:00,11.0,4.7,540,7.1
9,2018-10-03 18:30:00,14.0,4.1,22,7.4
10,2018-10-31 18:30:00,12.0,4.3,540,6.9
11,2018-12-03 18:30:00,12.0,4.4,920,7.3
12,2019-01-03 18:30:00,14.0,4.1,920,7.5
13,2019-02-01 18:30:00,12.0,3.8,920,7.6
14,2019-03-01 18:30:00,14.0,3.8,920,7.4
15,2019-04-03 18:30:00,16.0,3.3,79,7.9
16,2019-05-01 18:30:00,16.0,3.2,920,7.4
17,2019-06-02 18:30:00,11.0,4.0,920,7.8
18,2019-07-03 18:30:00,9.0,4.1,79,7.0
19,2019-08-04 18:30:00,11.0,4.6,110,6.9
20,2019-09-04 18:30:00,9.0,4.8,49,7.5
21,2019-10-02 18:30:00,12.0,4.4,220,7.1
22,2019-11-04 18:30:00,11.0,4.4,920,7.3
23,2019-12-05 18:30:00,13.0,4.3,240,7.4
24,2021-01-04 18:30:00,12.0,3.5,350,7.8
25,2021-02-03 18:30:00,12.0,3.8,220,8.0
26,2021-03-02 18:30:00,13.0,3.7,240,7.0
