"DateTime","pH"
"2018-01-04 18:30:00",7
"2018-02-04 18:30:00",7
"2018-03-04 18:30:00",6.7
"2018-04-03 18:30:00",7.2
"2018-05-07 18:30:00",6.9
"2018-06-03 18:30:00",8
"2018-07-02 18:30:00",7.3
"2018-08-02 18:30:00",7.6
"2018-09-04 18:30:00",7.1
"2018-10-03 18:30:00",7.4
"2018-10-31 18:30:00",6.9
"2018-12-03 18:30:00",7.3
"2019-01-03 18:30:00",7.5
"2019-02-01 18:30:00",7.6
"2019-03-01 18:30:00",7.4
"2019-04-03 18:30:00",7.9
"2019-05-01 18:30:00",7.4
"2019-06-02 18:30:00",7.8
"2019-07-03 18:30:00",7
"2019-08-04 18:30:00",6.9
"2019-09-04 18:30:00",7.5
"2019-10-02 18:30:00",7.1
"2019-11-04 18:30:00",7.3
"2019-12-05 18:30:00",7.4
"2021-01-04 18:30:00",7.8
"2021-02-03 18:30:00",8
"2021-03-02 18:30:00",7
